well,full_sample_id
A1,POC-466-20220616
A2,POC-467-20220616
A3,POC-468-20220616
A4,POC-469-20220616
A5,POC-470-20220616
A6,POC-471-20220616
A7,POC-472-20220616
A8,POC-473-20220616
A9,POC-474-20220616
A10,POC-475-20220616
A11,POC-476-20220617
A12,POC-477-20220617
B1,POC-466-20220616
B2,POC-467-20220616
B3,POC-468-20220616
B4,POC-469-20220616
B5,POC-470-20220616
B6,POC-471-20220616
B7,POC-472-20220616
B8,POC-473-20220616
B9,POC-474-20220616
B10,POC-475-20220616
B11,POC-476-20220617
B12,POC-477-20220617
C1,POC-478-20220617
C2,POC-479-20220617
C3,POC-480-20220617
C4,POC-481-20220617
C5,POC-482-20220617
C6,POC-483-20220617
C7,POC-484-20220617
C8,POC-466-20221115
C9,POC-467-20221115
C10,POC-468-20221115
C11,POC-469-20221115
C12,POC-470-20221115
D1,POC-478-20220617
D2,POC-479-20220617
D3,POC-480-20220617
D4,POC-481-20220617
D5,POC-482-20220617
D6,POC-483-20220617
D7,POC-485-20220617
D8,POC-466-20221115
D9,POC-467-20221115
D10,POC-468-20221115
D11,POC-469-20221115
D12,POC-470-20221115
E1,POC-471-20221115
E2,POC-472-20221115
E3,POC-473-20221115
E4,POC-474-20221115
E5,POC-475-20221115
E6,POC-476-20221104
E7,POC-477-20221104
E8,POC-478-20221104
E9,POC-479-20221104
E10,POC-480-20221104
E11,POC-481-20221104
E12,POC-482-20221104
F1,POC-471-20221115
F2,POC-472-20221115
F3,POC-473-20221115
F4,POC-474-20221115
F5,POC-475-20221115
F6,POC-476-20221104
F7,POC-477-20221104
F8,POC-478-20221104
F9,POC-479-20221104
F10,POC-480-20221104
F11,POC-481-20221104
F12,POC-482-20221104
G1,POC-483-20221104
G2,POC-484-20221104
G3,POC-485-20221104
G4,BK
G5,BK
G6,BK
G7,BK
G8,NA
G9,NA
G10,NA
G11,NA
G12,NA
H1,POC-483-20221104
H2,POC-484-20221104
H3,POC-485-20221104
H4,BK
H5,BK
H6,BK
H7,BK
H8,NA
H9,NA
H10,NA
H11,NA
H12,NA
